timestamp,ip_src,ip_dst,port_src,port_dst,transport_protocol,app_protocol,length
2024-12-04T20:47:19.643250,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:47:19.645044,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,89
2024-12-04T20:47:19.941254,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:20.417937,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:21.031988,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,581
2024-12-04T20:47:21.032911,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,601
2024-12-04T20:47:21.442313,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:22.464944,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:23.387170,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:24.410682,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:24.794633,127.0.0.1,127.0.0.1,51638,51641,TCP,DATA,45
2024-12-04T20:47:24.794635,127.0.0.1,127.0.0.1,51636,51642,TCP,DATA,45
2024-12-04T20:47:24.794676,127.0.0.1,127.0.0.1,51642,51636,TCP,TCP,56
2024-12-04T20:47:24.794677,127.0.0.1,127.0.0.1,51641,51638,TCP,TCP,56
2024-12-04T20:47:25.025620,192.168.0.33,224.0.0.251,5353,5353,UDP,MDNS,581
2024-12-04T20:47:25.026611,fe80::6599:18d7:c38:744e,ff02::fb,5353,5353,UDP,MDNS,601
2024-12-04T20:47:25.215664,192.168.0.31,152.199.19.160,26366,443,TCP,TLS,55
2024-12-04T20:47:25.222995,152.199.19.160,192.168.0.31,443,26366,TCP,TCP,66
2024-12-04T20:47:25.436002,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:25.574550,152.199.19.160,192.168.0.31,443,26366,TCP,TLS,111
2024-12-04T20:47:25.574809,192.168.0.31,152.199.19.160,26366,443,TCP,TCP,54
2024-12-04T20:47:25.574919,152.199.19.160,192.168.0.31,443,26366,TCP,TLS,78
2024-12-04T20:47:25.574919,152.199.19.160,192.168.0.31,443,26366,TCP,TCP,54
2024-12-04T20:47:25.574954,192.168.0.31,152.199.19.160,26366,443,TCP,TCP,54
2024-12-04T20:47:25.581241,152.199.19.160,192.168.0.31,443,26366,TCP,TCP,54
2024-12-04T20:47:26.459525,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:27.483183,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:28.125079,192.168.0.31,192.168.0.1,56871,53,UDP,DNS,94
2024-12-04T20:47:28.134454,192.168.0.1,192.168.0.31,53,56871,UDP,DNS,142
2024-12-04T20:47:28.404254,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:29.430290,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:30.108408,192.168.0.31,162.254.198.69,26262,27021,TCP,TLS,107
2024-12-04T20:47:30.116149,162.254.198.69,192.168.0.31,27021,26262,TCP,TCP,60
2024-12-04T20:47:30.454360,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:31.476567,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:32.502336,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:33.423863,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:34.447888,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:35.471916,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:36.495966,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:37.519927,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:38.441584,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:39.122111,127.0.0.1,127.0.0.1,51641,51638,TCP,DATA,45
2024-12-04T20:47:39.122158,127.0.0.1,127.0.0.1,51638,51641,TCP,TCP,56
2024-12-04T20:47:39.465426,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:39.801709,127.0.0.1,127.0.0.1,51642,51636,TCP,DATA,45
2024-12-04T20:47:39.801741,127.0.0.1,127.0.0.1,51636,51642,TCP,TCP,56
